Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Finland,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Renewables and waste,Total final consumption (ktoe),4049,3967,3942,3858,3168,3154,3069,3211,3393,3450,3558,3376,3721,3133,2831,2927,3069,3017,3312,3522,3221,3263,3546,3738,3944,4066,4427,4571,4617,4500,4367,4525,4489,4657,4267,4760,4793,4807,4343,4922,4801,5003,5015,5467,5432,5464,5883,6083
Finland,Electricity,Total final consumption (ktoe),1857,2107,2317,2357,2297,2516,2585,2813,3048,3197,3315,3350,3610,3900,4172,4258,4556,4742,4870,5068,5081,5138,5354,5593,5608,5718,6061,6263,6385,6508,6654,6852,6953,7147,6943,7398,7402,7099,6628,7180,6889,6941,6875,6806,6750,6961,6968,7117
Finland,Heat,Total final consumption (ktoe),442,511,604,564,661,846,896,1018,1049,1145,1225,1301,1391,1502,1866,1810,2030,1912,1793,1915,2020,2027,2107,2178,2126,2750,2699,2534,2749,3268,3514,3930,4067,3981,3845,4107,4030,4000,4066,4554,4062,4292,4075,3983,3830,4114,4032,4013
Finland,Total,Total final consumption (ktoe),16248,17831,19189,18218,17379,18065,18120,18831,19587,19344,19219,18911,19241,18943,18988,19892,21305,21336,22035,22322,22140,22168,22076,23229,22377,22771,23427,24296,24368,24439,24817,25550,25895,26117,25297,26512,26613,25727,24102,26444,25005,25168,25107,24996,24441,25537,25582,26006
France,"Coal, peat and oil shale",Total final consumption (ktoe),15950,14385,13963,13568,10755,10084,9335,8960,8851,8608,8722,8420,7878,8348,9184,8719,8213,7904,7810,6271,5967,5770,4375,4398,4397,4565,4495,4088,3478,3375,3131,2709,2773,2711,3025,3068,3329,3139,2393,2696,2655,2374,2467,2457,2279,2549,2854,2035
France,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Oil products,Total final consumption (ktoe),82965,89580,96031,89729,84569,87183,86420,92681,92540,87357,79351,74907,75046,74229,72867,73726,74723,74839,75386,75198,79402,79804,77851,77131,78881,79810,79983,82734,82421,81185,84549,81984,81968,81848,80204,79903,77889,75501,72623,71273,71527,70940,70391,69299,69265,67790,68491,66111
France,Natural gas,Total final consumption (ktoe),6974,8448,10277,10955,11738,13710,14960,16743,18784,19273,20314,19711,20807,22427,23260,23648,24053,23228,23569,23926,27142,27490,27629,27461,27982,30929,30596,31342,32543,32147,32924,32359,33941,34471,34556,33396,32004,33056,31084,32998,29304,31307,32753,27742,28715,30082,29572,29207
France,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Renewables and waste,Total final consumption (ktoe),8636,8590,8917,8117,8465,8157,8286,8451,8710,7833,7615,7803,8733,8797,9819,9367,9862,9277,9485,9797,11326,10992,10589,9549,9899,10688,9811,9789,9333,9124,9296,8864,9424,9548,9251,8407,9060,10324,10924,11767,10677,11989,12709,11495,11996,12708,12444,12509
